Username,Uploads,Views
,,
T-Series,"16,274","1,78,67,48,49,323"
,,
Cocomelon - Nursery Rhymes,727,"1,19,97,46,78,893"
,,
SET India,"75,610","1,09,74,68,89,986"
,,
Sony SAB,"46,858","70,53,64,35,563"
,,
Like Nastya,652,"69,13,44,91,405"
,,
✿ Kids Diana Show,960,"67,98,49,06,202"
,,
WWE,"59,203","65,60,45,89,881"
,,
Vlad and Niki,419,"58,58,72,85,878"
,,
Movieclips,"38,396","55,95,89,84,042"
,,
Ryan's World,"2,099","49,84,22,38,709"
,,
netd müzik,"18,271","47,24,50,24,297"
,,
Colors TV,"73,096","45,40,03,14,178"
,,
El Reino Infantil,"1,167","45,13,92,80,953"
,,
ABS-CBN Entertainment,"1,70,389","45,13,44,15,983"
,,
Zee Music Company,"6,026","44,14,45,32,766"
,,
ChuChu TV Nursery Rhymes & Kids So…,455,"35,97,60,82,132"
,,
Canal KondZilla,"2,180","35,82,82,13,625"
,,
Toys and Colors,722,"35,57,26,98,415"
,,
Little Baby Bum - Nursery Rhymes &…,"1,677","35,05,12,55,870"
,,
Wave Music,"18,478","34,78,24,42,176"
,,
Super Simple Songs - Kids Songs,579,"33,47,59,78,650"
,,
WorkpointOfficial,"58,373","32,37,59,86,372"
,,
Маша и Медведь,"1,092","30,95,30,71,259"
,,
Pinkfong Baby Shark - Kids' Songs …,"2,118","28,47,87,31,065"
,,
PewDiePie,"4,451","28,08,08,01,415"
,,
Get Movies,"3,311","27,14,68,03,332"
,,
Justin Bieber,238,"27,01,38,25,659"
,,
LooLoo Kids - Nursery Rhymes and C…,498,"26,97,50,98,204"
,,
Ed Sheeran,234,"26,22,97,75,696"
,,
Shemaroo Filmi Gaane,"7,290","26,20,66,57,904"
,,
YRF,"3,116","26,14,36,24,733"
,,
one31,"1,18,538","25,55,97,13,528"
,,
Tips Official,"3,270","24,69,58,16,342"
,,
GMANetwork,"1,06,455","24,41,21,53,459"
,,
قناة طيور الجنة | toy…,"3,035","24,36,37,07,745"
,,
JustinBieberVEVO,202,"24,33,48,98,703"
,,
Taylor Swift,189,"24,07,74,17,667"
,,
SMTOWN,"3,849","23,55,01,59,756"
,,
Ch3Thailand,"85,919","23,42,15,22,785"
,,
Katy Perry,110,"23,05,70,56,133"
,,
Speed Records,"9,901","22,89,45,55,482"
,,
GR6 EXPLODE,"3,990","22,53,02,26,078"
,,
Infobells - Hindi,446,"22,51,17,26,944"
,,
Sony Music India,"2,901","22,44,60,95,799"
,,
5-Minute Crafts,"5,081","22,43,65,27,311"
,,
TaylorSwiftVEVO,237,"22,31,26,11,320"
,,
BLACKPINK,395,"22,20,08,73,242"
,,
BabyBus - Nursery Rhymes,"1,733","22,17,18,97,450"
,,
Shakira,268,"22,08,43,94,851"
,,
KatyPerryVEVO,167,"21,99,47,92,782"
